City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,75,6.91,broken clouds
122,Hermanus,ZA,-34.4187,19.2345,52.81,75,90,5.44,overcast clouds
123,Bealanana,MG,-14.55,48.7333,62.26,98,23,1.9,few clouds
124,Hals,DK,56.9961,10.3081,49.96,64,89,7.81,overcast clouds
125,Bonthe,SL,7.5264,-12.505,79.03,82,100,5.86,overcast clouds
126,Monterey,US,36.2505,-121.2516,59.18,40,0,19.22,clear sky
127,Ust-Kuyga,RU,70.0167,135.6,21.52,89,100,1.74,overcast clouds
128,Machinga,MW,-15.1685,35.3,67.14,60,31,3.58,scattered clouds
129,Moussoro,TD,13.6408,16.4901,96.76,13,100,3.87,overcast clouds
130,Mocajuba,BR,-2.5842,-49.5072,80.26,95,100,1.92,overcast clouds
131,San Jeronimo,PE,-11.9472,-75.2829,63.95,39,37,4.14,scattered clouds
132,Baykit,RU,61.67,96.37,22.01,93,83,4.34,broken clouds
133,Vila Do Maio,CV,15.1333,-23.2167,75.99,81,22,15.17,few clouds
134,Acajutla,SV,13.5928,-89.8275,86.41,66,48,9.73,scattered clouds
135,Madang,PG,-5.2246,145.7966,78.48,89,100,5.37,light rain
136,Sarahan,IN,31.5167,77.8,56.19,57,7,6.15,clear sky
137,Georgetown,MY,5.4112,100.3354,82.33,78,20,0.0,few clouds
138,Rocha,UY,-34.4833,-54.3333,69.57,56,0,8.59,clear sky
139,Fortuna,US,40.5982,-124.1573,50.34,93,75,8.05,broken clouds
140,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.67,82,26,10.96,scattered clouds
141,Roebourne,AU,-20.7833,117.1333,77.11,40,99,10.07,overcast clouds
142,Zilupe,LV,56.3862,28.1217,42.76,50,35,8.72,scattered clouds
143,Jumla,NP,29.2747,82.1838,51.69,86,9,3.4,clear sky
144,Tongliao,CN,43.6125,122.2653,50.65,31,0,8.28,clear sky
145,Cockburn Town,TC,21.4612,-71.1419,79.54,77,0,9.35,clear sky
146,Vilcun,CL,-38.65,-72.2333,52.54,95,100,2.82,overcast clouds
147,Lebu,CL,-37.6167,-73.65,55.96,96,100,5.32,overcast clouds
148,Lokosovo,RU,61.1333,74.8167,35.15,96,34,5.82,scattered clouds
149,Magadan,RU,59.5667,150.8,32.52,84,30,8.23,scattered clouds
150,Bilibino,RU,68.0546,166.4372,23.11,91,100,5.82,overcast clouds
151,Chaves,US,33.3834,-104.4505,97.21,5,0,12.66,clear sky
152,Westport,US,41.1415,-73.3579,60.73,34,20,19.57,few clouds
153,Camacha,PT,33.0833,-16.3333,62.02,63,40,14.97,scattered clouds
154,Kuopio,FI,62.8924,27.677,39.15,45,0,6.91,clear sky
155,Pevek,RU,69.7008,170.3133,23.99,93,100,13.31,overcast clouds
156,Kummersbruck,DE,49.4192,11.8883,62.91,81,32,6.44,scattered clouds
157,Moose Factory,CA,51.2585,-80.6094,69.33,23,80,10.96,broken clouds
158,Kieta,PG,-6.2167,155.6333,78.55,89,54,2.48,light rain
159,Tasiilaq,GL,65.6145,-37.6368,37.56,66,100,5.01,overcast clouds
160,Yellowknife,CA,62.456,-114.3525,30.56,74,100,28.99,overcast clouds
161,Necochea,AR,-38.5473,-58.7368,73.54,51,10,17.02,clear sky
162,Orotina,CR,9.912,-84.5234,89.91,73,63,5.57,broken clouds
163,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,100,75,8.95,broken clouds
164,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,32.09,98,100,13.8,light snow
165,Robertsganj,IN,24.7,83.0667,83.79,34,0,7.4,clear sky
166,Avarua,CK,-21.2078,-159.775,82.45,83,40,5.75,scattered clouds
