City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
57,Tuktoyaktuk,CA,34.77,few clouds,69.4541,-133.0374,End of The Road Ltd.
58,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Hotel Citra
59,Gao,ML,93.74,clear sky,16.6362,1.637,
60,New Norfolk,AU,42.3,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
61,Nemuro,JP,39.6,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
62,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
63,Vyazemskiy,RU,38.48,few clouds,47.5378,134.7525,Dom Otdykha Dlya Rabotnikov Rzhd
64,Brooks,CA,48.78,overcast clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
65,Tabas,IR,83.5,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
66,Pisco,PE,74.01,dust,-13.7,-76.2167,Hotel San Isidro Oficial
67,Constitucion,CL,57.74,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
68,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
70,Lavara,GR,49.6,overcast clouds,41.2667,26.3833,
71,Castro,BR,68.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
72,Olafsvik,IS,45.54,light rain,64.8945,-23.7142,Hotel Olafsvik
73,Broome,US,65.39,clear sky,42.2506,-75.833,Chenango Valley State Park
75,Hargeysa,SO,74.8,overcast clouds,9.56,44.065,City Center Hotel
76,Ribeira Grande,PT,66.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
77,Oksfjord,NO,35.01,light snow,70.2396,22.3479,
78,Ati,TD,97.3,clear sky,13.2154,18.3353,
79,Port Elizabeth,ZA,62.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
81,Quelimane,MZ,69.06,clear sky,-17.8786,36.8883,Hotel Flamingo
82,Sur,OM,89.56,clear sky,22.5667,59.5289,Sur Plaza Hotel
83,Sabha,LY,77.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
84,Clyde River,CA,25.03,overcast clouds,70.4692,-68.5914,Qamaq Hotel
